name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist,clf_predicted_religion_corrected,clf_max_prob_corrected
ganpat,Hindu,0.9405884663354358,0.9405884663354358,8.48018831853166e-05,5.133281263699572e-05,0.0004598125065206,0.0003963923313146,0.0584191941309064,Hindu,0.9009075635990571
ganpati,Hindu,0.9951231194852536,0.9951231194852536,0.0001728618442974,7.545406415864774e-05,0.0012660192966444,0.000503336572613,0.0028592087370326,Hindu,0.9927192595740951
ganta,Hindu,0.9269604729205236,0.9269604729205236,9.858909869879004e-05,0.0052492062513083,0.0350153011485031,0.0155730667155304,0.0171033638654356,Hindu,0.9117355704704325
gaonkar,Hindu,0.9923803377070608,0.9923803377070608,0.000218742670068,0.0001281704125313,0.0068109184225979,5.588736553233136e-05,0.0004059434222094,Hindu,0.9920131639798876
garad,Hindu,0.982013733548756,0.982013733548756,0.0001249961584904,7.070393043322796e-05,0.0168236540811673,6.748230951034029e-05,0.0008994299716427,Hindu,0.9813793537994007
garai,Hindu,0.9768519476297888,0.9768519476297888,0.0003924853387796,5.635990175242681e-05,0.0225635449886018,1.018357632119932e-05,0.0001254785647561,Hindu,0.9766706602874707
garg,Hindu,0.965160063882184,0.965160063882184,0.0018471994844405,0.002210042004617,0.0299804973915591,9.777954565434726e-06,0.0007924192826336,Hindu,0.9645423687415545
gari,Hindu,0.9625756100406488,0.9625756100406488,0.0076174415194648,0.0001908386569127,0.0250782769204408,2.816437642487077e-05,0.0045096684861077,Hindu,0.9548478790785137
garib,Hindu,0.8315019554675179,0.8315019554675179,0.1597785459618696,0.0017863437644634,0.0052532665863973,3.495333869966218e-05,0.0016449348810519,Hindu,0.7531620832331558
garimaa,Christian,0.6368561892548847,0.279061428017456,0.0818562765293604,0.0009330875810315,0.6368561892548847,0.0002891101995004,0.0010039084177667,Christian,0.6029830031221611
garud,Hindu,0.4058580530007722,0.4058580530007722,0.2125470615216523,0.0058258091419225,0.3496278268953457,6.992374845855216e-05,0.0260713256918486,Hindu,0.3521140052724479
gauda,Hindu,0.9611563118485844,0.9611563118485844,0.0093049997834656,0.0158655208199772,0.013038498451109,7.197360085044329e-05,0.0005626954960133,Hindu,0.9616732253206787
gaur,Hindu,0.9090362078087038,0.9090362078087038,0.0013481978148975,0.0885975042564582,0.0009313539227416,3.952161686312117e-06,8.278403551260727e-05,Hindu,0.9447644641217963
gaurav,Hindu,0.99771648637254,0.99771648637254,0.000358243516907,0.001327981576676,0.0004803561150681,2.152441259840291e-05,9.540800621024815e-05,Hindu,0.9979871927231416
gauri,Hindu,0.9791619639606196,0.9791619639606196,0.0017045789377201,0.0101887016444705,0.0089104139516278,2.4322809510848448e-06,3.190922461083e-05,Hindu,0.9824851474602077
gaurishankar,Hindu,0.9959385168436882,0.9959385168436882,0.0010270927410559,0.0003327310151033,0.0024785315410208,0.000110652167913,0.0001124756912186,Hindu,0.9953075443274254
gautam,Hindu,0.9954924780622584,0.9954924780622584,0.0023791207964371,0.0009448190926816,0.0004546466475111,6.625572852210676e-06,0.0007223098282598,Hindu,0.9938316420213567
gavade,Hindu,0.9424978719980632,0.9424978719980632,0.0045687230473234,0.0002848373152754,0.0434045891950237,0.0004171919715736,0.0088267864727408,Hindu,0.9337593346848341
gavaee,Hindu,0.7226608171734972,0.7226608171734972,0.1197179376115185,0.0028022149016307,0.1518206065585498,0.0005864353723754,0.0024119883824282,Hindu,0.6706991512111591
gavai,Hindu,0.6374462362374368,0.6374462362374368,0.024550998935041,0.0011167996358441,0.11382712879621,0.0014800111928416,0.2215788252026263,Hindu,0.5394556412265221
gavalee,Hindu,0.7447141600391357,0.7447141600391357,0.2026979658600679,0.0006579139229543,0.0492589324584617,0.001844059773682,0.0008269679456982,Hindu,0.6577741815710005
gavhaane,Hindu,0.9086058061676104,0.9086058061676104,0.011709284889479,0.0003532465094289,0.0775708124128182,0.0001069562382814,0.0016538937823819,Hindu,0.9011878031108481
gavhane,Hindu,0.9841938783551332,0.9841938783551332,0.0067414306272382,0.0001550778114398,0.0079076789664496,9.076804259352488e-05,0.0009111661971455,Hindu,0.9793233861072731
gavit,Hindu,0.9561492938643054,0.9561492938643054,0.0025101572696119,0.0021820059117752,0.0367522993975697,0.0010371829660119,0.0013690605907258,Hindu,0.9543465276395081
gawali,Hindu,0.8346587411629696,0.8346587411629696,0.0914369570458866,0.0016376399935171,0.0713992752717368,0.0002216365926519,0.0006457499332377,Hindu,0.7883930496595759
gawande,Hindu,0.9353750708719196,0.9353750708719196,0.0103181082775978,0.000764849709911,0.0210905147239625,0.0013346779345262,0.0311167784820827,Hindu,0.9080239846324051
gayaa,Christian,0.6600538546375694,0.3389286694889082,0.0004780427858885,0.0005207119399176,0.6600538546375694,4.8582345812006124e-06,1.3862913135226064e-05,Christian,0.6585683666226668
gayaadeen,Hindu,0.836489733340734,0.836489733340734,0.0253339887643171,0.0022478863547637,0.1356269482423598,6.290558646072287e-06,0.0002951527391793,Hindu,0.8242839036600966
gayaaprasaad,Christian,0.7229110789653574,0.2767668557829379,0.0002018117065178,9.90579388248357e-05,0.7229110789653574,1.3253493018921053e-05,7.942113343171264e-06,Christian,0.7215686173750092
gayakar,Hindu,0.9904311750849134,0.9904311750849134,0.0006709139038634,0.0006432684113036,0.0081724686251957,5.840059221479524e-06,7.633391550237117e-05,Hindu,0.9902710926285518
gayakawad,Hindu,0.9885811563936292,0.9885811563936292,0.0013926880807969,0.0003227583395989,0.0094910651814946,1.3536218841523816e-05,0.0001987957856384,Hindu,0.9877351967901871
gayen,Hindu,0.5926841334217892,0.5926841334217892,0.0086482815356517,0.0016577874442822,0.3969345296461271,7.0445057101801815e-06,6.822344643949262e-05,Hindu,0.5912481561819292
gedaam,Christian,0.5669549813491885,0.4166000812064427,0.0151414314489768,0.0011030340356642,0.5669549813491885,1.0351077394824458e-05,0.0001901208823327,Christian,0.5600702093027082
gedam,Hindu,0.7647345177483371,0.7647345177483371,0.0206365989542257,0.0012437964055124,0.213096456203604,1.0095011392468809e-05,0.0002785356769282,Hindu,0.755889413461219
geeta,Hindu,0.7614416395956556,0.7614416395956556,0.0250673958238017,0.0147636514470824,0.1986119415344655,2.333999338605188e-05,9.203160560858356e-05,Hindu,0.7549357956106353
