name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
ansari,Muslim,0.998300464187554,0.0016828392251750039,0.998300464187554,7.083570068317105e-07,1.5918968657884727e-05,1.5308597630251023e-08,5.3953008741208644e-08
ayesha,Christian,0.5087415206881514,0.4814986285732725,0.00887927965835419,0.0005058317618780621,0.5087415206881514,4.996102265782359e-05,0.0003247782956860074
das,Hindu,0.9907646338916098,0.9907646338916098,1.8451961055436076e-05,0.00010631293444634063,0.00910494466925469,5.986774782372795e-07,5.057866155248345e-06
fernandes,Hindu,0.9043592155123564,0.9043592155123564,0.04981010891872351,0.0026407999200282117,0.0424307221582907,0.00012159687153365031,0.0006375566190675781
gupta,Hindu,0.9997975828346465,0.9997975828346465,4.8310277990460895e-05,0.00012076680836208588,2.8548385802956976e-05,7.278462215854709e-07,4.063846976264871e-06
harpreet,Hindu,0.8431192661731284,0.8431192661731284,0.03326801160468336,0.06446179015441175,0.058872988794564644,0.00015753145493859405,0.00012041181827328515
hussain,Sikh,0.7892052567053759,0.0018134897409767356,0.20775919936216972,0.7892052567053759,0.0012214095419609812,1.3076042075167528e-07,5.138890959188081e-07
iyer,Hindu,0.5920951072531716,0.5920951072531716,0.09373555145324029,0.003652773173206832,0.3103847786814324,7.950384546953085e-06,0.00012383905440187796
jain,Jain,0.9972522221895439,0.0016362919925227222,0.001104513950384501,1.6200250037518264e-06,5.348771409738852e-06,0.9972522221895439,3.0711353522573726e-09
kaur,Sikh,0.9998258155437161,0.00017377778108238005,2.623458658267603e-07,0.9998258155437161,1.307442178754594e-07,3.778744766570274e-10,1.3207243548529252e-08
khan,Muslim,0.9295131840395018,0.07042807556421077,0.9295131840395018,3.7534340365714844e-05,4.590671945366071e-08,3.234900198371931e-07,2.083665918241481e-05
malik,Muslim,0.837390651519781,0.15770153665556805,0.837390651519781,0.000776622833729475,0.004123074792464869,3.5007759745069224e-06,4.61342248200364e-06
mishra,Hindu,0.9953098947943073,0.9953098947943073,6.721453367779119e-05,1.1854175293725136e-05,2.8875975143121017e-05,1.1516699197034711e-07,0.004582045354586246
mohammad,Sikh,0.801818549435955,0.005068837035650253,0.19297200998530506,0.801818549435955,0.00013999033437129033,3.365014672510852e-08,5.795585717754081e-07
mohd,Muslim,0.5539013533847713,0.32350338774887255,0.5539013533847713,0.06414971740299638,0.05732625426239396,9.175651105870623e-05,0.0010275306899070683
moohammad,Sikh,0.9076731935437311,0.007275718991445251,0.0847711320114004,0.9076731935437311,0.0002784838406120632,6.104994130829203e-08,1.410562869834313e-06
moosa,Sikh,0.9369700029948508,0.002577517313475476,0.05273313353083985,0.9369700029948508,0.007708181634683112,4.151514477393333e-06,7.013011673503595e-06
patel,Hindu,0.999825296108842,0.999825296108842,2.067455699165739e-05,2.9071700817390253e-06,0.00011250789521920795,3.649919889716605e-05,2.115069968298209e-06
priya,Hindu,0.9668628492383138,0.9668628492383138,0.004025333023937058,0.0015186422150621048,0.027562394561082844,2.856555615164308e-05,2.2154054524973234e-06
reddy,Hindu,0.9997389930924542,0.9997389930924542,0.00021419214341352353,1.3306963961204237e-05,3.290337877484717e-05,2.8742012947606603e-07,3.1700126683945e-07
sen,Christian,0.9618156122566339,0.03785258824623111,0.00019108846243222276,0.000140630068805215,0.9618156122566339,3.409120363701093e-08,4.6874694015979054e-08
shah,Muslim,0.8572710863637657,0.14097315061881754,0.8572710863637657,0.0016003745510446397,0.00011177235227239275,2.6909828909568974e-05,1.6706285190176693e-05
sharma,Hindu,0.9998823053984738,0.9998823053984738,3.829277675890742e-06,0.0001117783295832149,1.9916331498521727e-06,1.2263776354432135e-08,8.309734078421292e-08
singh,Sikh,0.9999988829582817,1.117039655976564e-06,2.0448594876190384e-12,0.9999988829582817,1.753813830115835e-14,4.760439140983284e-20,9.112035132149363e-23
sulaiman,Sikh,0.8567949345014673,0.0747224120472662,0.010638703503428151,0.8567949345014673,0.05744938867244251,4.492279647780473e-05,0.00034963847891808525
thomas,Christian,0.9999996556702169,3.407662288325252e-07,5.692732865336288e-10,2.9204957792266914e-09,0.9999996556702169,3.341306352623002e-13,7.34509523816094e-11
varghese,Christian,0.9998283895969436,0.00016823809510833107,2.2693288627967928e-06,1.08184302944606e-06,0.9998283895969436,1.1194438863611599e-08,9.941616839350472e-09
varun,Christian,0.9055247801281429,0.09139470189816283,0.0029302542152234217,5.589596834460759e-05,0.9055247801281429,1.4970245905150382e-05,7.939754422108879e-05
