name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
aabdul,Muslim,0.9843655977356427,0.0032714361627196,0.9843655977356427,0.012024850026555954,0.00031413642227195933,1.6348677513789324e-05,7.630975296052611e-06
aabhaa,Hindu,0.6721434434794386,0.6721434434794386,0.21719944991800538,0.0019449952661982695,0.1083301595335113,8.057530715104044e-05,0.0003013764956955327
aabid,Muslim,0.8108230697749801,0.1755554951220356,0.8108230697749801,0.0009164665568920983,0.012669484035631794,9.581221842948129e-06,2.5903288617559e-05
aade,Hindu,0.6646185679110448,0.6646185679110448,0.008133197400329454,0.0008625361632200924,0.30242572411510116,7.4827915213435e-05,0.023885146495091093
aades,Christian,0.5254598635726798,0.4684036949681554,0.0032253259991622484,0.0002474145738829285,0.5254598635726798,3.742698846783492e-05,0.0026262738976517504
aadhaav,Hindu,0.8036612059949308,0.8036612059949308,0.003669379181684814,0.0008459782113992616,0.19144869255608787,7.859926337354916e-05,0.00029614479252366814
aadhimoolam,Hindu,0.9290226485104677,0.9290226485104677,0.0498117254763597,0.001470314181343739,0.019505576226071072,1.062040712586347e-05,0.0001791151986320439
aadilakshmi,Hindu,0.8726909555242358,0.8726909555242358,0.00670646328632748,0.00537638678874523,0.11518013078630523,6.4946493628019655e-06,3.956896502362486e-05
aadithy,Hindu,0.8153878524001766,0.8153878524001766,0.0073816831266391054,0.007417878445716476,0.16970259288756884,1.942542863799569e-05,9.056771126094715e-05
aaher,Hindu,0.4749666403744905,0.4749666403744905,0.18369043365499085,0.0038470370387876907,0.3373561143643136,7.026122515976126e-05,6.95133422574246e-05
aahir,Hindu,0.567134907530011,0.567134907530011,0.28859683539343894,0.002088706581249602,0.14193736536407925,4.839300354746079e-05,0.00019379212767378187
aahire,Hindu,0.7518466708586975,0.7518466708586975,0.11517612478302425,0.0007752180193861256,0.1320485026820117,4.232783684681406e-05,0.00011115582003374459
aajaad,Christian,0.8304065112704866,0.11706686959807044,0.04937589895404459,0.002716399233024931,0.8304065112704866,3.2677756968008375e-05,0.0004016431874053226
aakaamkshaa,Christian,0.743236727641084,0.18652148517409434,0.06300629253106727,0.004802066540889385,0.743236727641084,3.537585886681696e-05,0.0023980522539981115
