name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist,clf_predicted_religion_corrected,clf_max_prob_corrected
ansari,Muslim,0.998300464187554,0.001682839225175,0.998300464187554,7.083570068317105e-07,1.5918968657884727e-05,1.5308597630251023e-08,5.3953008741208644e-08,Muslim,0.998968429695237
ayesha,Christian,0.5087415206881514,0.4814986285732725,0.0088792796583541,0.000505831761878,0.5087415206881514,4.996102265782359e-05,0.000324778295686,Christian,0.5042246653792009
das,Hindu,0.9907646338916098,0.9907646338916098,1.845196105543608e-05,0.0001063129344463,0.0091049446692546,5.986774782372795e-07,5.057866155248345e-06,Hindu,0.9908518244498289
fernandes,Hindu,0.9043592155123564,0.9043592155123564,0.0498101089187235,0.0026407999200282,0.0424307221582907,0.0001215968715336,0.0006375566190675,Hindu,0.8768306858722406
gupta,Hindu,0.9997975828346464,0.9997975828346464,4.8310277990460895e-05,0.000120766808362,2.8548385802956976e-05,7.278462215854709e-07,4.063846976264871e-06,Hindu,0.9998159142968892
harpreet,Hindu,0.8431192661731284,0.8431192661731284,0.0332680116046833,0.0644617901544117,0.0588729887945646,0.0001575314549385,0.0001204118182732,Hindu,0.8489291622815318
hussain,Sikh,0.7892052567053759,0.0018134897409767,0.2077591993621697,0.7892052567053759,0.0012214095419609,1.307604207516753e-07,5.138890959188081e-07,Sikh,0.5624226273909327
iyer,Hindu,0.5920951072531716,0.5920951072531716,0.0937355514532402,0.0036527731732068,0.3103847786814324,7.950384546953085e-06,0.0001238390544018,Hindu,0.5600042614690905
jain,Jain,0.997252222189544,0.0016362919925227,0.0011045139503845,1.6200250037518264e-06,5.348771409738852e-06,0.997252222189544,3.0711353522573726e-09,Jain,0.997535079944173
kaur,Sikh,0.999825815543716,0.0001737777810823,2.623458658267603e-07,0.999825815543716,1.307442178754594e-07,3.7787447665702737e-10,1.3207243548529252e-08,Sikh,0.999690139362889
khan,Muslim,0.9295131840395018,0.0704280755642107,0.9295131840395018,3.753434036571485e-05,4.590671945366072e-08,3.234900198371931e-07,2.083665918241481e-05,Muslim,0.9560169907837822
malik,Muslim,0.837390651519781,0.157701536655568,0.837390651519781,0.0007766228337294,0.0041230747924648,3.5007759745069224e-06,4.61342248200364e-06,Muslim,0.8948143375685778
mishra,Hindu,0.9953098947943072,0.9953098947943072,6.721453367779119e-05,1.1854175293725136e-05,2.8875975143121017e-05,1.1516699197034714e-07,0.0045820453545862,Hindu,0.9918602185566329
mohammad,Sikh,0.801818549435955,0.0050688370356502,0.192972009985305,0.801818549435955,0.0001399903343712,3.3650146725108524e-08,5.795585717754081e-07,Sikh,0.582550062548614
mohd,Muslim,0.5539013533847713,0.3235033877488725,0.5539013533847713,0.0641497174029963,0.0573262542623939,9.175651105870624e-05,0.001027530689907,Muslim,0.685694040982136
moohammad,Sikh,0.9076731935437312,0.0072757189914452,0.0847711320114004,0.9076731935437312,0.000278483840612,6.104994130829203e-08,1.410562869834313e-06,Sikh,0.7761601266191348
moosa,Sikh,0.9369700029948508,0.0025775173134754,0.0527331335308398,0.9369700029948508,0.0077081816346831,4.151514477393333e-06,7.013011673503595e-06,Sikh,0.8443604134162497
patel,Hindu,0.999825296108842,0.999825296108842,2.067455699165739e-05,2.9071700817390253e-06,0.0001125078952192,3.649919889716605e-05,2.115069968298209e-06,Hindu,0.9997974986872251
priya,Hindu,0.9668628492383138,0.9668628492383138,0.004025333023937,0.0015186422150621,0.0275623945610828,2.856555615164308e-05,2.2154054524973234e-06,Hindu,0.965140557217542
reddy,Hindu,0.9997389930924542,0.9997389930924542,0.0002141921434135,1.3306963961204236e-05,3.290337877484717e-05,2.874201294760661e-07,3.1700126683945e-07,Hindu,0.9996058639268349
sen,Christian,0.961815612256634,0.0378525882462311,0.0001910884624322,0.0001406300688052,0.961815612256634,3.4091203637010935e-08,4.6874694015979054e-08,Christian,0.9615218730555537
shah,Muslim,0.8572710863637657,0.1409731506188175,0.8572710863637657,0.0016003745510446,0.0001117723522723,2.690982890956897e-05,1.6706285190176693e-05,Muslim,0.9086524188033357
sharma,Hindu,0.9998823053984738,0.9998823053984738,3.829277675890742e-06,0.0001117783295832,1.9916331498521727e-06,1.2263776354432137e-08,8.309734078421293e-08,Hindu,0.9999286522281658
singh,Sikh,0.9999988829582817,1.117039655976564e-06,2.0448594876190384e-12,0.9999988829582817,1.7538138301158352e-14,4.7604391409832843e-20,9.112035132149364e-23,Sikh,0.9999980146429251
sulaiman,Sikh,0.8567949345014673,0.0747224120472662,0.0106387035034281,0.8567949345014673,0.0574493886724425,4.492279647780473e-05,0.000349638478918,Sikh,0.762659754942612
thomas,Christian,0.9999996556702168,3.407662288325252e-07,5.692732865336287e-10,2.9204957792266914e-09,0.9999996556702168,3.341306352623002e-13,7.345095238160939e-11,Christian,0.9999996543402749
varghese,Christian,0.9998283895969436,0.0001682380951083,2.2693288627967928e-06,1.08184302944606e-06,0.9998283895969436,1.11944388636116e-08,9.941616839350472e-09,Christian,0.9998262829023837
varun,Christian,0.9055247801281427,0.0913947018981628,0.0029302542152234,5.589596834460759e-05,0.9055247801281427,1.4970245905150382e-05,7.939754422108879e-05,Christian,0.9032183303572175
