name,type,gender,religion,region,n,hand,clf,score
pawar,last,,Hindu,South,313.0,1,0.9966539047791144,0.9989961714337343
mishra,last,,Hindu,South,1565.0,1,0.9953098947943072,0.9985929684382922
agarwal,last,,Hindu,South,1049.0,1,0.9951683161690884,0.9985504948507264
mukherjee,last,,Hindu,South,133.0,1,0.9951432074945462,0.9985429622483639
chavan,last,,Hindu,South,50012.0,1,0.995021386054404,0.9985064158163213
chaturvedi,last,,Hindu,South,151.0,1,0.9937722798334392,0.9981316839500318
dwivedi,last,,Hindu,South,58.0,1,0.9933891053554432,0.998016731606633
bhattacharya,last,,Hindu,South,160.0,1,0.9931248999252956,0.9979374699775887
pillai,last,,Hindu,South,251250.0,1,0.992851531832054,0.9978554595496162
mahanta,last,,Hindu,South,149.0,1,0.992759411733466,0.9978278235200397
biswas,last,,Hindu,South,8355.0,1,0.9920782594875124,0.9976234778462537
yadav,last,,Hindu,West,504094.0,1,0.9999991788664648,0.9999997536599394
verma,last,,Hindu,West,246.0,1,0.9999777166355532,0.9999933149906659
sharma,last,,Hindu,West,198065.0,1,0.9998823053984738,0.9999646916195422
patel,last,,Hindu,West,328767.0,1,0.999825296108842,0.9999475888326526
khanna,last,,Hindu,West,4940.0,1,0.9998194438684244,0.9999458331605273
gupta,last,,Hindu,West,250489.0,1,0.9997975828346464,0.9999392748503939
reddy,last,,Hindu,West,8755.0,1,0.9997389930924542,0.9999216979277363
tiwari,last,,Hindu,West,82023.0,1,0.9996910632674568,0.999907318980237
nair,last,,Hindu,West,1756.0,1,0.999547809919515,0.9998643429758545
jadhav,last,,Hindu,West,1627482.0,1,0.9992450799997248,0.9997735239999175
trivedi,last,,Hindu,West,14287.0,1,0.9982472284347628,0.9994741685304288
pal,last,,Hindu,West,60749.0,1,0.9981225843478926,0.9994367753043678
ghosh,last,,Hindu,West,8620.0,1,0.9980234927467077,0.9994070478240122
dutta,last,,Hindu,West,380.0,1,0.9978028489722528,0.9993408546916758
pawar,last,,Hindu,West,1938.0,1,0.9966539047791144,0.9989961714337343
mishra,last,,Hindu,West,99770.0,1,0.9953098947943072,0.9985929684382922
agarwal,last,,Hindu,West,156.0,1,0.9951683161690884,0.9985504948507264
mukherjee,last,,Hindu,West,55.0,1,0.9951432074945462,0.9985429622483639
chavan,last,,Hindu,West,919708.0,1,0.995021386054404,0.9985064158163213
chaturvedi,last,,Hindu,West,3850.0,1,0.9937722798334392,0.9981316839500318
dwivedi,last,,Hindu,West,917.0,1,0.9933891053554432,0.998016731606633
bhattacharya,last,,Hindu,West,2465.0,1,0.9931248999252956,0.9979374699775887
pillai,last,,Hindu,West,7811.0,1,0.992851531832054,0.9978554595496162
mahanta,last,,Hindu,West,2030.0,1,0.992759411733466,0.9978278235200397
biswas,last,,Hindu,West,3267.0,1,0.9920782594875124,0.9976234778462537
joseph,last,,Christian,North,9118.0,1,0.999999973582924,0.9999999920748772
thomas,last,,Christian,North,5789.0,1,0.9999996556702168,0.999999896701065
jose,last,,Christian,North,888.0,1,0.999998785395809,0.9999996356187427
mathew,last,,Christian,North,1992.0,1,0.9999609716634612,0.9999882914990383
chacko,last,,Christian,North,462.0,1,0.9999395978614114,0.9999818793584234
george,last,,Christian,North,4971.0,1,0.999925027658548,0.9999775082975644
varghese,last,,Christian,North,1654.0,1,0.9998283895969436,0.9999485168790831
kuriakose,last,,Christian,North,11.0,1,0.9997884286977172,0.9999365286093151
kurian,last,,Christian,North,292.0,1,0.9997124772892576,0.9999137431867773
philip,last,,Christian,North,1460.0,1,0.9996487074364708,0.9998946122309412
mathews,last,,Christian,North,209.0,1,0.9992583223012816,0.9997774966903845
jacob,last,,Christian,North,2688.0,1,0.9991496919207316,0.9997449075762195
abraham,last,,Christian,North,2252.0,1,0.9972659364815554,0.9991797809444667
samuel,last,,Christian,North,2095.0,1,0.9949875191414016,0.9984962557424204
skariah,last,,Christian,North,4.0,1,0.9949134816439988,0.9984740444931997
daniel,last,,Christian,North,2965.0,1,0.9939652725927692,0.9981895817778308
stephen,last,,Christian,North,433.0,1,0.9919578550946684,0.9975873565284006
eapen,last,,Christian,North,45.0,1,0.9918584312693328,0.9975575293807999
yohannan,last,,Christian,North,154.0,1,0.9912626803819932,0.9973788041145979
antony,last,,Christian,North,351.0,1,0.9886614455985044,0.9965984336795513
john,last,,Christian,North,5021.0,1,0.988333216932041,0.9964999650796122
cherian,last,,Christian,North,324.0,1,0.9801024196431534,0.9940307258929459
koshy,last,,Christian,North,76.0,1,0.97737776433884,0.9932133293016521
punnoose,last,,Christian,North,10.0,1,0.9688873153596912,0.9906661946079074
costa,last,,Christian,North,60.0,1,0.9617960308155548,0.9885388092446664
joseph,last,,Christian,East,2715.0,1,0.999999973582924,0.9999999920748772
thomas,last,,Christian,East,1521.0,1,0.9999996556702168,0.999999896701065
jose,last,,Christian,East,76.0,1,0.999998785395809,0.9999996356187427
mathew,last,,Christian,East,581.0,1,0.9999609716634612,0.9999882914990383
chacko,last,,Christian,East,41.0,1,0.9999395978614114,0.9999818793584234
george,last,,Christian,East,650.0,1,0.999925027658548,0.9999775082975644
varghese,last,,Christian,East,76.0,1,0.9998283895969436,0.9999485168790831
kuriakose,last,,Christian,East,10.0,1,0.9997884286977172,0.9999365286093151
kurian,last,,Christian,East,62.0,1,0.9997124772892576,0.9999137431867773
philip,last,,Christian,East,682.0,1,0.9996487074364708,0.9998946122309412
mathews,last,,Christian,East,17.0,1,0.9992583223012816,0.9997774966903845
